GeneName	Description	Process	Comment
ALDH1L2	This gene encodes a member of both the aldehyde dehydrogenase superfamily and the formyl transferase superfamily. This member is the mitochondrial form of 10-formyltetrahydrofolate dehydrogenase (FDH), which converts 10-formyltetrahydrofolate to tetrahydrofolate and CO2 in an NADP(+)-dependent reaction, and plays an essential role in the distribution of one-carbon groups between the cytosolic and mitochondrial compartments of the cell. Alternatively spliced transcript variants have been found for this gene.[provided by RefSeq, Oct 2010],	Folate & Pterin Metabolism	present in both datasets 
ALDH1L1	The protein encoded by this gene catalyzes the conversion of 10-formyltetrahydrofolate, nicotinamide adenine dinucleotide phosphate (NADP+), and water to tetrahydrofolate, NADPH, and carbon dioxide. The encoded protein belongs to the aldehyde dehydrogenase family. Loss of function or expression of this gene is associated with decreased apoptosis, increased cell motility, and cancer progression. There is an antisense transcript that overlaps on the opposite strand with this gene locus. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jun 2012],	Folate & Pterin Metabolism	present in both datasets 
SLC25A32	Transports folate across the inner membranes of mitochondria	Folate & Pterin Metabolism	present in both datasets 
MTHFS	The protein encoded by this gene is an enzyme that catalyzes the conversion of 5-formyltetrahydrofolate to 5,10-methenyltetrahydrofolate, a precursor of reduced folates involved in 1-carbon metabolism. An increased activity of the encoded protein can result in an increased folate turnover rate and folate depletion. Three transcript variants encoding two different isoforms have been found for this gene. [provided by RefSeq, Jun 2011],	Folate & Pterin Metabolism	present in both datasets 
FPGS	Conversion of folates to polyglutamate derivatives. This allows tissues to concentrate folate at higher levels than in plasma	Folate & Pterin Metabolism	present in both datasets 
PTS	Involved in the biosynthesis of tetrahydrobiopterin, an essential cofactor of aromatic amino acid hydroxylases. Catalyzes the transformation of 7,8-dihydroneopterin triphosphate into 6- pyruvoyl tetrahydropterin	Folate & Pterin Metabolism	present in both datasets 
MTHFD1	This gene encodes a protein that possesses three distinct enzymatic activities, 5,10-methylenetetrahydrofolate dehydrogenase, 5,10-methenyltetrahydrofolate cyclohydrolase and 10-formyltetrahydrofolate synthetase. Each of these activities catalyzes one of three sequential reactions in the interconversion of 1-carbon derivatives of tetrahydrofolate, which are substrates for methionine, thymidylate, and de novo purine syntheses. The trifunctional enzymatic activities are conferred by two major domains, an aminoterminal portion containing the dehydrogenase and cyclohydrolase activities and a larger synthetase domain. [provided by RefSeq, Jul 2008],	Folate & Pterin Metabolism	present in both datasets 
AKR1B1	This gene encodes a member of the aldo/keto reductase superfamily, which consists of more than 40 known enzymes and proteins. This member catalyzes the reduction of a number of aldehydes, including the aldehyde form of glucose, and is thereby implicated in the development of diabetic complications by catalyzing the reduction of glucose to sorbitol. Multiple pseudogenes have been identified for this gene. The nomenclature system used by the HUGO Gene Nomenclature Committee to define human aldo-keto reductase family members is known to differ from that used by the Mouse Genome Informatics database. [provided by RefSeq, Feb 2009],	Fructose Metabolism	mitomitoXplorer | These genes are present in mitomitoXplorer only
ALDH1A1	The protein encoded by this gene belongs to the aldehyde dehydrogenase family. Aldehyde dehydrogenase is the next enzyme after alcohol dehydrogenase in the major pathway of alcohol metabolism. There are two major aldehyde dehydrogenase isozymes in the liver, cytosolic and mitochondrial, which are encoded by distinct genes, and can be distinguished by their electrophoretic mobility, kinetic properties, and subcellular localization. This gene encodes the cytosolic isozyme. Studies in mice show that through its role in retinol metabolism, this gene may also be involved in the regulation of the metabolic responses to high-fat diet. [provided by RefSeq, Mar 2011],	Fructose Metabolism	mitomitoXplorer | These genes are present in mitomitoXplorer only
ALDOB	Fructose-1,6-bisphosphate aldolase (EC 4.1.2.13) is a tetrameric glycolytic enzyme that catalyzes the reversible conversion of fructose-1,6-bisphosphate to glyceraldehyde 3-phosphate and dihydroxyacetone phosphate. Vertebrates have 3 aldolase isozymes which are distinguished by their electrophoretic and catalytic properties. Differences indicate that aldolases A, B, and C are distinct proteins, the products of a family of related &apos;housekeeping&apos; genes exhibiting developmentally regulated expression of the different isozymes. The developing embryo produces aldolase A, which is produced in even greater amounts in adult muscle where it can be as much as 5% of total cellular protein. In adult liver, kidney and intestine, aldolase A expression is repressed and aldolase B is produced. In brain and other nervous tissue, aldolase A and C are expressed about equally. There is a high degree of homology between aldolase A and C. Defects in ALDOB cause hereditary fructose intolerance. [provided by RefSeq, Dec 2008],	Fructose Metabolism	mitomitoXplorer | These genes are present in mitomitoXplorer only
KHK	This gene encodes ketohexokinase that catalyzes conversion of fructose to fructose-1-phosphate. The product of this gene is the first enzyme with a specialized pathway that catabolizes dietary fructose. Alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Jul 2008],	Fructose Metabolism	mitomitoXplorer | These genes are present in mitomitoXplorer only
SORD	Sorbitol dehydrogenase (SORD; EC 1.1.1.14) catalyzes the interconversion of polyols and their corresponding ketoses, and together with aldose reductase (ALDR1; MIM 103880), makes up the sorbitol pathway that is believed to play an important role in the development of diabetic complications (summarized by Carr and Markham, 1995 [PubMed 8535074]). The first reaction of the pathway (also called the polyol pathway) is the reduction of glucose to sorbitol by ALDR1 with NADPH as the cofactor. SORD then oxidizes the sorbitol to fructose using NAD(+) cofactor.[supplied by OMIM, Jul 2010],	Fructose Metabolism	mitomitoXplorer | These genes are present in mitomitoXplorer only
TKFC	Catalyzes both the phosphorylation of dihydroxyacetone and the splitting of ribonucleoside diphosphate-X compounds among which FAD is the best substrate	Fructose Metabolism	mitomitoXplorer | These genes are present in mitomitoXplorer only
GLYCTK	This locus encodes a member of the glycerate kinase type-2 family. The encoded enzyme catalyzes the phosphorylation of (R)-glycerate and may be involved in serine degradation and fructose metabolism. Decreased activity of the encoded enzyme may be associated with the disease D-glyceric aciduria. Alternatively spliced transcript variants have been described. [provided by RefSeq, Jan 2009],	Fructose Metabolism	present in both datasets 
ALDOA	This gene encodes a member of the class I fructose-bisphosphate aldolase protein family. The encoded protein is a glycolytic enzyme that catalyzes the reversible conversion of fructose-1,6-bisphosphate to glyceraldehyde 3-phosphate and dihydroxyacetone phosphate. Three aldolase isozymes (A, B, and C), encoded by three different genes, are differentially expressed during development. Mutations in this gene have been associated with Glycogen Storage Disease XII, an autosomal recessive disorder associated with hemolytic anemia. Disruption of this gene also plays a role in the progression of multiple types of cancers. 	Glycolysis	mitomitoXplorer | These genes are present in mitomitoXplorer only
ALDOC	This gene encodes a member of the class I fructose-biphosphate aldolase gene family. Expressed specifically in the hippocampus and Purkinje cells of the brain, the encoded protein is a glycolytic enzyme that catalyzes the reversible aldol cleavage of fructose-1,6-biphosphate and fructose 1-phosphate to dihydroxyacetone phosphate and either glyceraldehyde-3-phosphate or glyceraldehyde, respectively. [provided by RefSeq, Jul 2008],	Glycolysis	mitomitoXplorer | These genes are present in mitomitoXplorer only
ENO1	This gene encodes alpha-enolase, one of three enolase isoenzymes found in mammals. Each isoenzyme is a homodimer composed of 2 alpha, 2 gamma, or 2 beta subunits, and functions as a glycolytic enzyme. Alpha-enolase in addition, functions as a structural lens protein (tau-crystallin) in the monomeric form. Alternative splicing of this gene results in a shorter isoform that has been shown to bind to the c-myc promoter and function as a tumor suppressor. Several pseudogenes have been identified, including one on the long arm of chromosome 1. Alpha-enolase has also been identified as an autoantigen in Hashimoto encephalopathy. [provided by RefSeq, Jan 2011],	Glycolysis	mitomitoXplorer | These genes are present in mitomitoXplorer only
ENO2	This gene encodes one of the three enolase isoenzymes found in mammals. This isoenzyme, a homodimer, is found in mature neurons and cells of neuronal origin. A switch from alpha enolase to gamma enolase occurs in neural tissue during development in rats and primates. [provided by RefSeq, Jul 2008],	Glycolysis	mitomitoXplorer | These genes are present in mitomitoXplorer only
ENO3	This gene encodes one of the three enolase isoenzymes found in mammals. This isoenzyme is found in skeletal muscle cells in the adult where it may play a role in muscle development and regeneration. A switch from alpha enolase to beta enolase occurs in muscle tissue during development in rodents. Mutations in this gene have be associated glycogen storage disease. Alternatively spliced transcript variants encoding different isoforms have been described.[provided by RefSeq, Jul 2010],	Glycolysis	mitomitoXplorer | These genes are present in mitomitoXplorer only
FBP1	Fructose-1,6-bisphosphatase 1, a gluconeogenesis regulatory enzyme, catalyzes the hydrolysis of fructose 1,6-bisphosphate to fructose 6-phosphate and inorganic phosphate. Fructose-1,6-diphosphatase deficiency is associated with hypoglycemia and metabolic acidosis. [provided by RefSeq, Jul 2008],	Glycolysis	mitomitoXplorer | These genes are present in mitomitoXplorer only
FBP2	This gene encodes a gluconeogenesis regulatory enzyme which catalyzes the hydrolysis of fructose 1,6-bisphosphate to fructose 6-phosphate and inorganic phosphate. [provided by RefSeq, Jul 2008],	Glycolysis	mitomitoXplorer | These genes are present in mitomitoXplorer only
